Question,Answer
What is a fever?,"A fever is a temporary increase in your body temperature, often due to an infection."
How to treat a headache?,Use ibuprofen or acetaminophen. Rest and drink water.
What are the symptoms of flu?,"Symptoms include fever, cough, sore throat, body aches, and fatigue."
Can I exercise with a cold?,"Light exercise is okay if your symptoms are mild, like a runny nose. Avoid if you have a fever."
How to prevent dehydration?,"Drink at least 8 cups of water daily, and more if you're active or in a hot climate."
What are the side effects of paracetamol?,"Common side effects include nausea, rash, and liver issues if taken excessively."
What is a balanced diet?,"A balanced diet includes fruits, vegetables, whole grains, lean proteins, and healthy fats."
How to boost the immune system?,"To boost your immune system, eat nutritious food, exercise regularly, and get enough sleep."
What is diabetes?,Diabetes is a chronic condition that affects the way your body processes blood sugar (glucose).
How to manage stress?,"Manage stress by practicing relaxation techniques, regular exercise, and maintaining social connections."
What causes high blood pressure?,"High blood pressure can be caused by stress, lack of physical activity, a high-salt diet, and genetics."
What are the symptoms of a heart attack?,"Symptoms of a heart attack include chest pain, shortness of breath, nausea, and dizziness."
How to lower cholesterol naturally?,"Lower cholesterol naturally by eating more fiber, reducing saturated fats, and exercising regularly."
What are the benefits of regular exercise?,"Regular exercise improves cardiovascular health, strengthens muscles, and boosts mental health."
How to quit smoking?,"To quit smoking, use nicotine replacement therapy, join support groups, and set a quit date."
What is the best way to lose weight?,The best way to lose weight is by maintaining a calorie deficit through healthy eating and exercise.
What are the symptoms of food poisoning?,"Symptoms of food poisoning include nausea, vomiting, diarrhea, and abdominal cramps."
How to treat a sprained ankle?,"Treat a sprained ankle by resting, applying ice, compressing with a bandage, and elevating the foot."
What is the normal body temperature?,Normal body temperature is typically around 98.6°F (37°C).
How to improve mental health?,"Improve mental health by seeking therapy, practicing mindfulness, and staying socially connected."
What is a fever?,"A fever is a temporary increase in your body temperature, often due to an infection."
How to treat a headache?,Use ibuprofen or acetaminophen. Rest and drink water.
What are the symptoms of flu?,"Symptoms include fever, cough, sore throat, body aches, and fatigue."
Can I exercise with a cold?,"Light exercise is okay if your symptoms are mild, like a runny nose. Avoid if you have a fever."
How to prevent dehydration?,"Drink at least 8 cups of water daily, and more if you're active or in a hot climate."
What are the side effects of paracetamol?,"Common side effects include nausea, rash, and liver issues if taken excessively."
What is a balanced diet?,"A balanced diet includes fruits, vegetables, whole grains, lean proteins, and healthy fats."
How to boost the immune system?,"To boost your immune system, eat nutritious food, exercise regularly, and get enough sleep."
What is diabetes?,Diabetes is a chronic condition that affects the way your body processes blood sugar (glucose).
How to manage stress?,"Manage stress by practicing relaxation techniques, regular exercise, and maintaining social connections."
What causes high blood pressure?,"High blood pressure can be caused by stress, lack of physical activity, a high-salt diet, and genetics."
What are the symptoms of a heart attack?,"Symptoms of a heart attack include chest pain, shortness of breath, nausea, and dizziness."
How to lower cholesterol naturally?,"Lower cholesterol naturally by eating more fiber, reducing saturated fats, and exercising regularly."
What are the benefits of regular exercise?,"Regular exercise improves cardiovascular health, strengthens muscles, and boosts mental health."
How to quit smoking?,"To quit smoking, use nicotine replacement therapy, join support groups, and set a quit date."
What is the best way to lose weight?,The best way to lose weight is by maintaining a calorie deficit through healthy eating and exercise.
What are the symptoms of food poisoning?,"Symptoms of food poisoning include nausea, vomiting, diarrhea, and abdominal cramps."
How to treat a sprained ankle?,"Treat a sprained ankle by resting, applying ice, compressing with a bandage, and elevating the foot."
What is the normal body temperature?,Normal body temperature is typically around 98.6°F (37°C).
How to improve mental health?,"Improve mental health by seeking therapy, practicing mindfulness, and staying socially connected."
How to relieve a sore throat?,"Relieve a sore throat by drinking warm fluids, gargling saltwater, and using throat lozenges."
What are the early signs of pregnancy?,"Early signs of pregnancy include missed periods, nausea, fatigue, and breast tenderness."
How to prevent sunburn?,"Prevent sunburn by applying sunscreen, wearing protective clothing, and avoiding peak sun hours."
What is the treatment for anemia?,"Treatment for anemia includes consuming iron-rich foods, taking iron supplements, and treating underlying causes."
How to reduce the risk of osteoporosis?,"Reduce the risk of osteoporosis by consuming calcium and vitamin D, exercising, and avoiding smoking."
